name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,cloud_percentage
img_1830.tif,10.798213421507896,10.522632892982209,10.47025868460864,103,146485,12.64
img_1831.tif,10.528019417789157,10.336507298734103,10.253528693131642,63,34723,38.12
img_1834.tif,10.627417295576311,10.467953203323423,10.412200310727885,34,18811,60.51
img_1835.tif,9.587809795411616,9.373910412604278,9.145289936010055,103,249823,10.58
img_1836.tif,10.62002995536416,10.456464164282805,10.382133976734549,37,15898,54.53
img_1837.tif,10.897351840740372,10.791856760760542,10.8012539313887,1,681,86.58
img_1840.tif,10.4084737512248,10.202294840298284,10.15359130070164,102,65962,24.81
img_1843.tif,10.44946629951224,10.343060346910551,10.264108335167249,142,67642,22.92
img_1844.tif,10.264250842191842,10.083599514257294,10.005647665010567,51,36922,26.81
img_1845.tif,10.85867360022084,10.760456218725029,10.78642813784746,20,15663,89.52
img_1847.tif,10.311361507182134,10.197568836008555,10.166111439965553,55,22529,62.79
img_1848.tif,10.716993142348308,10.64933927034937,10.611368100430049,91,25280,35.97
img_185.tif,9.153336307938186,8.621907732339968,8.299473748978803,32,100651,37.15
img_1850.tif,9.017579671066976,8.884625660185867,8.784581023088137,44,121955,14.65
img_1851.tif,9.017364119917447,8.884729188510109,8.78468212896651,44,121737,14.56
img_1854.tif,9.239082675728149,9.138142930180226,9.04867613062951,91,103146,42.25
img_1855.tif,8.19514425657473,8.074530796077058,8.048333004929047,22,135621,14.17
img_1858.tif,10.621654608851443,10.422559617318766,10.390746221540736,8,8631,69.64
img_1859.tif,9.63512673449586,9.456162584693084,9.38632615703792,48,39880,34.63
img_186.tif,10.0656522724014,9.97077379227997,9.95505725816445,17,17101,65.8
img_1861.tif,10.306815726810692,10.19720343195818,10.154124207165015,166,88187,13.2
img_1863.tif,10.877743486983942,10.762008927384333,10.74470775482225,171,94232,29.1
img_1865.tif,10.794489738756532,10.629610147470428,10.60279597595576,21,9222,74.52
img_1866.tif,10.318973770628922,10.153683768726886,10.103306604615376,121,173790,37.02
img_1867.tif,11.094028701906565,10.946284200315237,10.922202891856085,253,105590,11.23
img_1868.tif,11.019645436989908,10.937985453853456,10.94530038189257,180,72659,33.71
img_187.tif,9.266013868529129,9.28103126216416,9.361588495498829,15,4398,77.58
img_1871.tif,8.404455767998133,8.288275204008938,8.338852201908821,0,0,27.15
img_1872.tif,9.230502176011475,8.908697401820236,8.713488200771014,51,42786,42.7
img_1875.tif,10.935026515175018,10.731149138421252,10.699866073100347,120,30725,28.42
img_1877.tif,10.9655319660656,10.767191944091028,10.751778336010023,0,0,89.23
img_1878.tif,9.042664088257004,8.921056938919927,8.936408065768594,4,14178,30.59
img_1881.tif,11.051960956810596,10.988732270876696,10.993181056365607,60,13890,64.72
img_1882.tif,11.347725602235096,11.33011523957345,11.332478932875777,141,77495,18.31
img_1886.tif,10.718986074089791,10.604962240732872,10.591270990499453,105,21714,51.42
img_189.tif,7.911603226116838,7.425205931509188,7.085685193407556,43,281135,10.42
img_1890.tif,9.725958330742994,9.452338772680518,9.403650732661465,7,3468,80.63
img_1891.tif,9.995743732169537,9.624864005778884,9.391571934716664,46,43103,30.11
img_1892.tif,10.2020356788322,9.890268638548664,9.70979886087718,60,159207,26.71
img_1894.tif,8.83469278480648,8.708051727609286,8.765420523233956,4,5364,60.82
img_1895.tif,9.213739344569625,8.943679849436686,8.845412920660547,73,44810,30.14
img_1896.tif,10.131151244706466,9.966899509257804,9.951509223222349,40,24233,55.1
img_1898.tif,10.737763116297671,10.664064238338996,10.668435470306664,29,50045,81.85
img_19.tif,9.04788826876695,8.788053666157507,8.59209767497599,39,21816,36.45
img_1901.tif,11.02141846921958,10.923543063986576,10.913239721266704,138,78924,25.63
img_1902.tif,10.554051288511433,10.445882907137085,10.414635983202649,102,27901,44.89
img_1903.tif,10.416635629399533,10.369046496904677,10.355406240127056,127,99477,22.23
img_1905.tif,10.54371913614854,10.437823343492864,10.392546360210735,84,97543,32.01
img_1907.tif,11.099713089843426,10.997754968091058,10.98929511038416,48,19024,69.42
img_1909.tif,11.060105601909571,10.99642780881438,11.006833939423814,42,18258,80.74
img_191.tif,9.328228017495103,8.778931569258122,8.416697880527988,19,7578,27.88
img_1912.tif,11.303102635945224,11.178599803592274,11.182409715177393,185,94620,17.79
img_1914.tif,10.65614943221207,10.541136472604176,10.501697040875197,205,72267,15.16
img_1916.tif,10.88163902033901,10.721305416071816,10.66864056341822,62,16620,62.61
img_1917.tif,11.018033263336358,10.88089805077828,10.883952318182088,16,29823,72.07
img_1919.tif,10.432933790524356,10.248346834943764,10.207782699165223,116,71056,42.24
img_192.tif,8.359467402066882,8.357372782640835,8.425683473481781,33,6151,29.26
img_1920.tif,11.52280897336575,11.335318975779868,11.318276905994356,238,165885,15.37
img_1921.tif,11.285954867928734,11.16668255665632,11.176405618792971,8,18415,88.23
img_1923.tif,11.89607096197522,11.641545132314883,11.595577753526268,148,91391,32.72
img_1925.tif,10.00106850400984,9.762092312389942,9.661807968362666,155,128154,14.72
img_1926.tif,8.441841186283053,8.20222889668603,8.091242133946704,31,8731,17.25
img_1927.tif,10.15178297180091,9.921607821554318,9.894600319189678,0,0,84.39
img_1928.tif,8.52206259241061,8.21694080657576,8.027690563987408,5,33419,18.29
img_1930.tif,8.427169289443816,8.332348237373788,8.398850722144513,6,420,54.28
img_1931.tif,10.42529610063889,10.236127581571694,10.200766428583746,0,0,82.71
img_1934.tif,8.879468581085206,8.642668201823666,8.556455175484096,115,55407,10.7
img_1938.tif,10.677029687371604,10.046843704914268,9.893429971869002,56,42546,34.32
img_1939.tif,10.292213589087046,10.149619329244771,10.167411227513396,18,4378,50.91
img_194.tif,10.759522695066334,10.733051806294332,10.74875979251739,16,20267,81.63
img_1943.tif,10.717936456771746,10.55192569634602,10.508278162435262,69,53192,56.29
img_1944.tif,10.271768539600124,10.181164768663646,10.14017761596206,157,66641,28.03
img_1945.tif,10.819801682216184,10.674778019618111,10.66881878846199,168,126364,16.29
img_1946.tif,10.386709936862207,10.229763036368292,10.212076824521183,64,23420,68.73
img_1949.tif,11.047894481744684,10.901629819329138,10.86473614389014,197,119364,19.25
img_1951.tif,10.383509027371042,10.287331786348,10.245349052396572,126,66377,32.56
img_1956.tif,11.157800403477948,11.004743244961965,10.974011549888024,142,106011,43.47
img_1958.tif,11.096856852775858,10.94981901330558,10.877913978882932,87,49728,53.89
img_1959.tif,10.443045780169417,10.32765325915786,10.258211019856944,149,82046,11.28
img_1962.tif,10.940748359418151,10.73213413052686,10.689675525654344,127,103677,32.58
img_1964.tif,11.338311431249734,11.251073978327474,11.195900994769216,139,117673,24.33
img_1965.tif,11.11206454278394,10.968075868648873,10.933222477839651,186,109585,22.37
img_1966.tif,10.897886375753334,10.744320352677793,10.7166707451487,61,30049,63.07
img_1967.tif,10.47139842001376,10.283957149769105,10.22116707026618,135,55914,38.66
img_1968.tif,9.819150487923762,9.783172699015823,9.803125097850216,92,31611,48.14
img_1971.tif,7.950391520306327,7.76421708094887,7.269502531947128,53,104969,20.89
img_1972.tif,7.0359488490651785,6.894713370827467,6.219545145397684,66,128785,11.42
img_1974.tif,11.080924306829978,10.911248675343282,10.880413291255238,0,0,84.55
img_1975.tif,10.483864975775631,10.28772715476889,10.263869271974102,2,660,89.25
img_1976.tif,8.53700914956441,8.443477799199421,8.248122905518878,12,24016,56.81
img_1978.tif,8.56859971421901,8.526863484932694,8.282473195698017,8,3726,61.31
img_198.tif,9.197525219936372,9.074110450664636,9.081748310825766,18,8525,40.41
img_1981.tif,9.300456787766224,9.466022991029984,9.180164894855986,16,20735,51.64
img_1982.tif,9.24376751145112,8.789706693965032,8.720426822418746,51,24127,12.61
img_1985.tif,8.773179161994587,8.658018087417645,8.703823180011362,36,14410,42.2
img_1986.tif,8.255326953506371,8.080069923835623,7.594151596518317,251,149517,21.43
img_1989.tif,7.953843928426726,7.685285291043296,7.511948143250627,79,38167,31.81
img_199.tif,9.215443570538982,9.048815878561465,9.032707112688612,33,13126,45.31
img_1992.tif,10.23017393693176,10.122897124497422,9.940020527357534,25,32146,60.28
img_1995.tif,8.60929569220635,8.773536072624978,8.624704292053778,4,425,45.93
img_1996.tif,10.349962242337735,10.150431815682976,10.051871203011832,0,0,76.79
img_1997.tif,9.239954518914884,9.10893493928638,9.173381159658776,1,89,62.99
img_2.tif,9.595100576870536,9.355143212439726,9.17634420188975,42,24124,52.99
img_20.tif,9.330804824295903,9.12517703301429,8.94181678313041,16,12266,36.31
img_200.tif,10.583732101902742,10.461979950610312,10.499201818558358,19,3609,74.64
img_2001.tif,9.500166747081416,9.397671767359268,9.15933779641774,22,54236,44.08
img_2003.tif,9.221139557013604,9.058406483051042,9.028795675857596,4,3263,77.35
img_2004.tif,8.895191382052683,8.789146583518846,8.8009197080459,4,9799,27.68
img_2005.tif,8.966972848820138,8.853297177728946,8.565214043747371,16,32925,39.94
